#,Country,Average IQ,Education Attainment,Literacy Rate,Number of Nobel Prizes
55,Suriname,90.29,,95.54%,
56,Ukraine,90.07,,99.76%,6
57,Moldova,89.98,,99.24%,
58,Serbia,89.6,,98%,
59,Vietnam,89.53,,94.51%,1
60,Iraq,89.28,,79.72%,1
61,Uzbekistan,89.01,,100%,
62,Kazakhstan,88.89,,99.79%,
63,Thailand,88.87,,93.98%,
64,Armenia,88.82,89.9%,99.77%,
65,Bosnia and Herzegovina,88.54,69.1%,98.49%,2
66,Costa Rica,88.34,40.9%,97.65%,1
67,Bhutan,87.94,,63.91%,
68,Chile,87.89,,96.63%,2
69,Mexico,87.73,38.6%,94.55%,3
70,Tajikistan,87.71,,99.78%,
71,Uruguay,87.59,,98.44%,
72,Brunei,87.58,,96.66%,
73,Malaysia,87.58,,94.64%,
74,The Bahamas,86.99,,95.6%,
75,Romania,86.88,,98.76%,5
76,Turkey,86.8,,95.69%,2
77,Argentina,86.63,,98.09%,5
78,Sri Lanka,86.62,64.8%,92.61%,
79,Mauritius,86.56,,90.62%,
80,Turkmenistan,85.86,,99.69%,
81,Montenegro,85.78,,98.72%,
82,Trinidad and Tobago,85.63,,98.97%,1
83,Azerbaijan,84.81,,99.81%,1
84,Georgia,84.5,,99.76%,
85,Turks and Caicos Islands,84.29,,98%,
86,Paraguay,84.04,42.4%,95.54%,
87,Federated States of Micronesia,83.96,,89%,
88,Fiji,83.96,,93.7%,
89,Marshall Islands,83.96,,98.27%,
90,Solomon Islands,83.96,,84.1%,
91,Cuba,83.9,,99.71%,
92,Bahrain,83.6,68.7%,95.72%,
93,Brazil,83.38,,92.59%,1
94,Guyana,83.23,,87.54%,
95,Colombia,83.13,53.2%,94.58%,2
96,Venezuela,82.99,,95.4%,1
97,Cayman Islands,82.24,,98.87%,
98,Afghanistan,82.12,,38.17%,
99,Haiti,82.1,,60.69%,
100,Dominican Republic,82.05,,92.47%,
101,United Arab Emirates,82.05,,92.99%,
102,Puerto Rico,81.99,,93.33%,
103,Republic of Macedonia,81.91,68.3%,97.84%,
104,Albania,81.75,,97.55%,
105,Lebanon,81.7,,94.05%,
106,Philippines,81.64,,96.62%,1
107,Peru,81.44,,94.37%,1
108,Northern Mariana Islands,81.36,,97%,
109,Laos,80.99,,79.87%,
110,Libya,80.92,,91.39%,
111,Qatar,80.78,,97.76%,
112,Jordan,80.7,50.2%,98.01%,
113,Maldives,80.54,,99.32%,
114,Iran,80.01,,87.17%,1
115,Pakistan,80,,56.44%,2
116,Grenada,79.34,,96%,
117,Tunisia,79.22,,81.05%,1
118,Kyrgyzstan,79.09,,99.5%,
119,Panama,79,,95.04%,
120,Chad,78.87,,40.02%,
121,Sudan,78.87,,58.6%,
122,Seychelles,78.76,,95.32%,
123,Oman,78.7,62.2%,93.97%,
124,Kuwait,78.64,,96.12%,
125,East Timor,78.49,,64.07%,
126,Indonesia,78.49,38.1%,95.44%,
127,Papua New Guinea,78.49,,63.43%,
128,Ecuador,78.26,43.4%,94.52%,
129,Palestine,77.69,45.9%,96.67%,1
130,Senegal,77.37,,55.62%,
131,Comoros,77.07,,78.14%,
132,Madagascar,76.79,,64.66%,
133,British Virgin Islands,76.69,,97.8%,
134,Bolivia,76.53,59.2%,95.14%,
135,Uganda,76.42,,73.81%,
136,Saudi Arabia,76.36,62.3%,94.84%,
137,Egypt,76.32,,75.84%,4
138,India,76.24,,72.23%,12
139,Algeria,76,,79.61%,2
140,Kenya,75.2,,78.02%,1
141,Angola,75.1,,71.16%,
142,Jamaica,75.08,,88.5%,
143,Tanzania,74.95,,80.36%,1
144,Syria,74.41,,86.3%,
145,Bangladesh,74.33,36.8%,61.49%,2
146,Zimbabwe,74.01,,86.87%,
147,Burkina Faso,73.8,,37.75%,
148,Saint Lucia,73.68,,90.1%,2
149,Mozambique,72.5,,58.84%,
150,Burundi,72.09,,85.5%,
151,Niger,70.82,,19.1%,
152,Antigua and Barbuda,70.48,,98.95%,
153,Rwanda,69.95,,71.24%,
154,Benin,69.71,,38.45%,
155,Malawi,69.7,,65.96%,
156,El Salvador,69.63,33.6%,87.65%,
157,Botswana,69.45,,88.22%,
158,Lesotho,68.87,,79.36%,
159,South Africa,68.87,,94.6%,11
160,Eswatini,68.87,,87.47%,
161,Eritrea,68.77,,73.85%,
162,Saint Helena,68.74,,97%,
163,Zambia,68.43,,85.12%,
164,Ethiopia,68.42,,49.03%,1
165,Djibouti,68.41,,67.9%,
166,Cameroon,67.76,,74.99%,
167,Nigeria,67.76,,59.57%,1
168,Somalia,67.67,,37.8%,
169,Morocco,67.03,,71.71%,1
170,Namibia,66.19,,90.82%,
171,Dominica,66.03,,94%,
172,São Tomé and Príncipe,65.22,,91.75%,
173,Democratic Republic of the Congo,64.92,,77.22%,
174,Saint Vincent and the Grenadines,63.42,,95.63%,
175,Gabon,62.97,,83.24%,
176,Republic of the Congo,62.97,,79.31%,
177,Yemen,62.86,,69.96%,1
178,Belize,62.55,43.3%,82.78%,
179,Central African Republic,62.55,,36.75%,
180,Honduras,62.16,,88.42%,
181,Togo,59.83,,66.54%,
182,Mali,59.76,5.4%,33.07%,
183,Mauritania,59.76,,52.12%,
184,South Sudan,58.61,,31.98%,
185,Ghana,58.16,,76.58%,1
186,Ivory Coast,58.16,,43.27%,
187,Guinea,53.48,,30.47%,
188,Nicaragua,52.69,,82.47%,
189,The Gambia,52.68,,,
190,Guatemala,47.72,,79.07%,2
191,Liberia,45.07,,47.6%,2
192,Sierra Leone,45.07,,48.43%,
193,Nepal,42.99,,64.66%,
